Hash Rate,Days Since Inception
326619735.2,2333
351177610,2332
336442885.1,2331
363122622.9,2330
316188406.3,2329
365592844.8,2328
395235507.9,2327
373003510.6,2326
353241735.2,2325
365592844.8,2324
301367074.8,2323
331009737.8,2322
397705729.8,2321
380414176.3,2320
350771513.2,2319
303837296.7,2318
370533288.6,2317
358182179,2316
373779242.4,2315
321734031.5,2314
366682168.2,2313
373779242.4,2312
383242008.1,2311
333562488.5,2310
395070465.1,2309
380876316.7,2308
335928179.9,2307
335928179.9,2306
335928179.9,2305
345390945.5,2304
332393969.1,2303
356656302.6,2303
300852935.5,2302
380918636.1,2301
320262802.3,2300
351803835.9,2299
327541502.4,2298
349377602.5,2297
342098902.5,2296
291148002.1,2295
344525135.8,2294
371213702.7,2293
344525135.8,2292
329967735.7,2291
332393969.1,2290
419738369.7,2289
303150868.7,2288
390780416.7,2287
331571262.6,2286
383675318.2,2285
374201853.5,2284
352886558.1,2283
305519234.8,2282
298414136.4,2281
350518191.9,2280
381306952,2279
338676361.1,2278
364728388.9,2277
312624333.3,2276
326609291.9,2275
347909897.9,2274
347909897.9,2273
314775621.9,2272
305308685.9,2271
371577237.9,2270
326609291.9,2269
352643365.9,2268
364477035.9,2267
284008079.9,2266
326609291.9,2265
338442961.9,2264
376310705.9,2263
408026906.6,2262
334287104.2,2261
326913124,2260
329371117.4,2259
339203091,2258
302333189.8,2257
388362959.3,2256
346577071.3,2255
334287104.2,2254
336745097.6,2253
349035064.7,2252
351493058.1,2251
292501216.2,2250
390820952.7,2249
317081150.3,2248
371157005.4,2247
357640666.3,2246
350673640.4,2245
341384272.4,2244
329772562.5,2243
346028956.4,2243
329772562.5,2242
350673640.4,2241
348351298.4,2240
399442822.2,2239
346028956.4,2238
385508770.2,2237
387831112.2,2236
358360754.8,2235
313565660.4,2234
337142025.9,2233
332426752.8,2232
337142025.9,2231
332426752.8,2230
337142025.9,2229
308850387.3,2228
346572572,2227
315923297,2226
327711479.7,2225
313565660.4,2224
391367666.4,2223
356003118.2,2222
311208023.9,2221
362028097.7,2220
327217703.7,2219
366669483.6,2218
264558994.5,2217
364348790.7,2216
357386711.9,2215
348103940.1,2214
348103940.1,2213
313293546.1,2210
366669483.6,2209
334179782.5,2208
362028097.7,2207
320255624.9,2206
317934932,2205
333693497.8,2204
304964918.5,2203
366841858.5,2202
362422077.1,2201
355792405,2200
342533060.7,2199
349162732.8,2198
296125355.7,2197
355792405,2196
309384700,2195
300545137.1,2194
331483607.1,2193
331483607.1,2192
342533060.7,2191
262615768.3,2190
352889938.6,2189
359044995.7,2188
301597796.4,2187
330321396,2186
276977568.1,2185
301597796.4,2184
348786567.2,2183
318011281.9,2183
285184310.9,2182
348786567.2,2181
324166339,2180
316947260.6,2179
277602083.5,2178
275416240.3,2177
264487024.4,2176
271044553.9,2175
327876476.5,2174
299460515.2,2173
262301181.2,2172
338805692.4,2171
325690633.4,2170
299460515.2,2169
325690633.4,2168
303832201.6,2167
330062319.7,2166
229513533.6,2165
358478281,2164
296980106.3,2163
284858469.3,2162
307081470.4,2161
272736832.3,2160
299000379.1,2159
317182834.6,2158
339405835.8,2157
335365290.1,2156
331324744.4,2155
323243653.1,2154
335365290.1,2153
313142288.9,2153
286371916,2152
331485300.1,2151
327562397.1,2150
313832236.7,2149
282449013.1,2148
331485300.1,2147
296179173.4,2146
317755139.7,2145
253027240.9,2144
284410464.5,2143
276564658.6,2142
